sample_id,platform_id_x,type,provider,molecular_characterisation_type,instrument_model,library_strategy,platform_id_y,model_id
A01R0037,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-2083
A01R0037,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-2083
CRL-R0170,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-2054
CRL-R0170,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-2054
Oncotest-R0117,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-2068
Oncotest-R0117,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-2068
Oncotest-R0114,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-1788
Oncotest-R0114,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-1788
Oncotest-R0087,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-1993
Oncotest-R0087,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-1993
CRL-R0245,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-386
CRL-R0245,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-386
CRL-R0219,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-2519
CRL-R0219,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-2519
Oncotest-R0089,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-1986
Oncotest-R0089,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-1986
EP01R0012,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-2257
EP01R0012,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-2257
Oncotest-R0002,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-2531
Oncotest-R0002,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-2531
CRL-R0193,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-MRI-H-166
CRL-R0193,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-MRI-H-166
Oncotest-R0012,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-2069
Oncotest-R0012,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-2069
Oncotest-R0038,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-2082
Oncotest-R0038,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-2082
Oncotest-R0051,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-SMTCA17
Oncotest-R0051,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-SMTCA17
Oncotest-R0041,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-2121
Oncotest-R0041,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-2121
CRL-R0158,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-2690
CRL-R0158,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-2690
CRL-R0174,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-2479
CRL-R0174,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-2479
CRL-R0175,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-LI-011
CRL-R0175,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-LI-011
A01R0004,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-243
A01R0004,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-243
A01R0009,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-1103
A01R0009,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-1103
Oncotest-R0121,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-2436
Oncotest-R0121,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-2436
Oncotest-R0044,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-2146
Oncotest-R0044,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-2146
CRL-R0265,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-2152
CRL-R0265,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-2152
A01R0040,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-647
A01R0040,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-647
Oncotest-R0148,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-2783
Oncotest-R0148,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-2783
B01R0024,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-690
B01R0024,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-690
A01R0020,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-2032
A01R0020,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-2032
CRL-R0264,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-1937
CRL-R0264,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-1937
CRL-R0266,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-TH-007
CRL-R0266,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-TH-007
CRL-R0260,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-2755
CRL-R0260,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-2755
Oncotest-R0032,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-2033
Oncotest-R0032,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-2033
Oncotest-R0109,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-2782
Oncotest-R0109,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-2782
Oncotest-R0067,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-2796
Oncotest-R0067,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-2796
B01R0023,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-646
B01R0023,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-646
CRL-R0159,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-2972
CRL-R0159,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-2972
CRL-R0188,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-2147
CRL-R0188,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-2147
EP01R0006,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-2190
EP01R0006,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-2190
Oncotest-R0017,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-2184
Oncotest-R0017,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-2184
Oncotest-R0132,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-2437
Oncotest-R0132,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-2437
Oncotest-R0077,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-281
Oncotest-R0077,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-281
CRL-R0267,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-SMTCA112
