model_id,provider,model_type,publications,age_in_years_at_collection,diagnosis,tumour_type,primary_site,sex,ethnicity,mt
HCM-BROD-0481-C43,BROD,2-D: Adherent,,66,Melanoma --,metastatic,Skin,Female,White,Cell Line
HCM-BROD-0254-C49,BROD,2-D: Adherent,,13,Rhabdomyosarcoma Alveolar,metastatic,Connective tissue,Male,White,Cell Line
HCM-BROD-0010-C25,BROD,3-D: Organoid,,53,Pancreatic cancer Other,metastatic,Pancreas,Female,White,Organoid
HCM-BROD-0223-C43,BROD,2-D: Adherent,,74,Melanoma --,metastatic,Skin,Male,White,Cell Line
HCM-BROD-0408-C71,BROD,"3-D: Other (e.g. neurosphere, air-liquid interface, etc.)",,69,Glioblastoma NOS,Recurrent,Brain,Female,White,Other
HCM-BROD-0449-C34,BROD,2-D: Conditionally reprogrammed cells,,73,Lung cancer Squamous cell carcinoma (NOS),metastatic,Bronchus and lung,Male,White,Cell Line
HCM-BROD-0416-C71,BROD,"3-D: Other (e.g. neurosphere, air-liquid interface, etc.)",,73,Glioblastoma NOS,Primary,Brain,Female,White,Other
HCM-BROD-0334-C43,BROD,2-D: Adherent,,72,Melanoma --,metastatic,Skin,Male,White,Cell Line
HCM-BROD-0001-C18,BROD,"3-D: Other (e.g. neurosphere, air-liquid interface, etc.)",,49,Colorectal cancer Adenocarcinoma,metastatic,Rectum,Female,White,Other
HCM-BROD-0228-C43-B,BROD,2-D: Adherent,,68,Melanoma --,metastatic,Skin,Male,White,Cell Line
HCM-BROD-0561-C43,BROD,2-D: Adherent,,65,Melanoma --,metastatic,Skin,Male,White,Cell Line
HCM-BROD-0564-C71,BROD,"3-D: Other (e.g. neurosphere, air-liquid interface, etc.)",,66,Glioblastoma NOS,Recurrent,Brain,Female,White,Other
HCM-BROD-0227-C43,BROD,2-D: Adherent,,40,Melanoma --,metastatic,Skin,Male,White,Cell Line
HCM-BROD-0344-C25,BROD,3-D: Organoid,,75,Pancreatic cancer Adenocarcinoma ductal type,metastatic,Pancreas,Male,Asian,Organoid
HCM-BROD-0415-C71,BROD,"3-D: Other (e.g. neurosphere, air-liquid interface, etc.)",,54,Glioblastoma NOS,Recurrent,Brain,Female,White,Other
HCM-BROD-0121-C41,BROD,2-D: Conditionally reprogrammed cells,,15,Ewing's sarcoma --,metastatic,Bone,Male,White,Cell Line
HCM-BROD-0569-C43,BROD,2-D: Adherent,,79,Melanoma --,metastatic,Skin,Female,White,Cell Line
HCM-BROD-0643-C43,BROD,2-D: Conditionally reprogrammed cells,,54,Melanoma --,metastatic,Skin,Male,White,Cell Line
HCM-BROD-0679-C43,BROD,2-D: Adherent,,69,Melanoma --,metastatic,Skin,Female,White,Cell Line
HCM-BROD-0228-C43-A,BROD,2-D: Adherent,,68,Melanoma --,metastatic,Skin,Male,White,Cell Line
HCM-BROD-0613-C71,BROD,2-D: Adherent,,51,Glioblastoma NOS,Primary,Brain,Male,White,Cell Line
HCM-BROD-0420-C71,BROD,"3-D: Other (e.g. neurosphere, air-liquid interface, etc.)",,49,Glioblastoma NOS,Recurrent,Brain,Male,White,Other
HCM-BROD-0355-C49,BROD,2-D: Adherent,,Not provided,Rhabdomyosarcoma Spindle cell,Primary,Unknown,Female,White,Cell Line
HCM-BROD-0557-C43,BROD,2-D: Conditionally reprogrammed cells,,31,Melanoma Melanoma (NOS),metastatic,Skin,Male,White,Cell Line
HCM-BROD-0335-C43,BROD,2-D: Adherent,,61,Melanoma Melanoma (NOS),metastatic,Skin,Male,White,Cell Line
HCM-BROD-0458-C15,BROD,3-D: Organoid,,58,Esophageal cancer Esophagus adenocarcinoma (NOS),metastatic,Esophagus,Male,White,Organoid
HCM-BROD-0221-C43,BROD,2-D: Adherent,,77,Melanoma Melanoma (NOS),metastatic,Skin,Male,White,Cell Line
HCM-BROD-0417-C71,BROD,"3-D: Other (e.g. neurosphere, air-liquid interface, etc.)",,50,Glioblastoma NOS,Primary,Brain,Female,White,Other
HCM-BROD-0595-C43,BROD,2-D: Adherent,,53,Melanoma Melanoma (NOS),metastatic,Skin,Female,White,Cell Line
HCM-BROD-0421-C71,BROD,Mixed adherent and suspension,,49,Glioblastoma NOS,Primary,Brain,Female,White,Other
HCM-BROD-0124-C25,BROD,3-D: Organoid,,60,Pancreatic cancer Adenocarcinoma ductal type,Primary,Pancreas,Male,White,Organoid
HCM-BROD-0097-C15,BROD,3-D: Organoid,,74,Esophageal cancer Esophagus adenocarcinoma (NOS),metastatic,Esophagus,Male,White,Organoid
HCM-BROD-0483-C16-A,BROD,3-D: Organoid,,50,Stomach cancer Adenocarcinoma (NOS),metastatic,Stomach,Female,White,Organoid
ALL-02,CCIA,PDX,PMID: 31693904,Not collected,B-cell Precursor Acute Lymphoblastic Leukemia,recurrent,Not provided,Female,Mixed_or_Unknown,PDX
ALL-03,CCIA,PDX,PMID: 31693904,Not collected,Mixed Lineage Lukemia Acute Lymphoblastic Leukemia,Primary,Not provided,Female,European,PDX
ALL-04,CCIA,PDX,PMID: 31693904,Not collected,Philadelphia chromosome positive Acute Lymphoblastic Leukemia,Primary,Not provided,Male,European,PDX
ALL-07,CCIA,PDX,PMID: 31693904,Not collected,B-cell Precursor Acute Lymphoblastic Leukemia,Primary,Not provided,Male,European,PDX
ALL-08,CCIA,PDX,PMID: 31693904,Not collected,T-cell Lymphoblastic Leukemia,recurrent,Not provided,Male,African,PDX
ALL-10,CCIA,PDX,PMID: 31693904,Not collected,Philadelphia chromosome negative like Acute Lymphoblastic Leukemia,Primary,Not provided,Male,European,PDX
ALL-102,CCIA,PDX,PMID: 31693904,Not collected,Philadelphia chromosome negative like Acute Lymphoblastic Leukemia,Primary,Not provided,Male,European,PDX
ALL-105,CCIA,PDX,PMID: 31693904,Not collected,Philadelphia chromosome negative like Acute Lymphoblastic Leukemia,recurrent,Not provided,Male,European,PDX
ALL-115,CCIA,PDX,PMID: 31693904,Not collected,Philadelphia chromosome negative like Acute Lymphoblastic Leukemia,Primary,Not provided,Male,European,PDX
ALL-106,CCIA,PDX,PMID: 31693904,Not collected,Philadelphia chromosome negative like Acute Lymphoblastic Leukemia,Primary,Not provided,Male,SouthAsianOrHispanic,PDX
ALL-107,CCIA,PDX,PMID: 31693904,Not collected,Philadelphia chromosome negative like Acute Lymphoblastic Leukemia,Primary,Not provided,Male,Mixed_or_Unknown,PDX
ALL-108,CCIA,PDX,PMID: 31693904,Not collected,Philadelphia chromosome negative like Acute Lymphoblastic Leukemia,Primary,Not provided,Female,European,PDX
ALL-11,CCIA,PDX,PMID: 31693904,Not collected,B-cell Precursor Acute Lymphoblastic Leukemia,recurrent,Not provided,Female,European,PDX
ALL-116,CCIA,PDX,PMID: 31693904,Not collected,Philadelphia chromosome negative like Acute Lymphoblastic Leukemia,Primary,Not provided,Female,European,PDX
ALL-117,CCIA,PDX,PMID: 31693904,Not collected,Philadelphia chromosome negative like Acute Lymphoblastic Leukemia,Primary,Not provided,Male,European,PDX
ALL-118,CCIA,PDX,PMID: 31693904,Not collected,Philadelphia chromosome negative like Acute Lymphoblastic Leukemia,Primary,Not provided,Female,European,PDX
ALL-121,CCIA,PDX,PMID: 31693904,Not collected,T-cell Lymphoblastic Leukemia,recurrent,Not provided,Male,European,PDX
ALL-46,CCIA,PDX,PMID: 31693904,Not collected,T-cell Lymphoblastic Leukemia,recurrent,Not provided,Male,European,PDX
ALL-122,CCIA,PDX,PMID: 31693904,Not collected,B-cell Precursor Acute Lymphoblastic Leukemia,recurrent,Not provided,Female,SouthAsianOrHispanic,PDX
ALL-123,CCIA,PDX,PMID: 31693904,Not collected,B-cell Precursor Acute Lymphoblastic Leukemia,Primary,Not provided,Female,European,PDX
ALL-58,CCIA,PDX,PMID: 31693904,Not collected,B-cell Precursor Acute Lymphoblastic Leukemia,Primary,Not provided,Female,European,PDX
ALL-16,CCIA,PDX,PMID: 31693904,Not collected,T-cell Lymphoblastic Leukemia,recurrent,Not provided,Female,European,PDX
ALL-17,CCIA,PDX,PMID: 31693904,Not collected,B-cell Precursor Acute Lymphoblastic Leukemia,Primary,Not provided,Female,Not collected,PDX
ALL-19,CCIA,PDX,PMID: 31693904,Not collected,B-cell Precursor Acute Lymphoblastic Leukemia,Primary,Not provided,Male,European,PDX
ALL-25,CCIA,PDX,PMID: 31693904,Not collected,B-cell Precursor Acute Lymphoblastic Leukemia,Primary,Not provided,Male,European,PDX
ALL-61,CCIA,PDX,PMID: 31693904,Not collected,B-cell Precursor Acute Lymphoblastic Leukemia,Primary,Not provided,Male,European,PDX
ALL-26,CCIA,PDX,PMID: 31693904,Not collected,B-cell Precursor Acute Lymphoblastic Leukemia,Primary,Not provided,Female,European,PDX
ALL-27,CCIA,PDX,PMID: 31693904,Not collected,T-cell Lymphoblastic Leukemia,Primary,Not provided,Male,European,PDX
ALL-28,CCIA,PDX,PMID: 31693904,Not collected,B-cell Precursor Acute Lymphoblastic Leukemia,Primary,Not provided,Male,European,PDX
ALL-29,CCIA,PDX,PMID: 31693904,Not collected,T-cell Lymphoblastic Leukemia,recurrent,Not provided,Male,European,PDX
ALL-30,CCIA,PDX,PMID: 31693904,Not collected,T-cell Lymphoblastic Leukemia,Primary,Not provided,Male,EastAsian,PDX
ALL-31,CCIA,PDX,PMID: 31693904,Not collected,T-cell Lymphoblastic Leukemia,recurrent,Not provided,Male,European,PDX
ALL-32,CCIA,PDX,PMID: 31693904,Not collected,T-cell Lymphoblastic Leukemia,Primary,Not provided,Male,European,PDX
ALL-90,CCIA,PDX,PMID: 31693904,Not collected,T-cell Lymphoblastic Leukemia,Primary,Not provided,Male,European,PDX
ALL-33,CCIA,PDX,PMID: 31693904,Not collected,T-cell Lymphoblastic Leukemia,Primary,Not provided,Male,European,PDX
ALL-39,CCIA,PDX,PMID: 31693904,Not collected,T-cell Lymphoblastic Leukemia,Primary,Not provided,Male,Mixed_or_Unknown,PDX
ALL-42,CCIA,PDX,PMID: 31693904,Not collected,T-cell Lymphoblastic Leukemia,Primary,Not provided,Male,European,PDX
ALL-43,CCIA,PDX,PMID: 31693904,Not collected,T-cell Lymphoblastic Leukemia,Primary,Not provided,Male,European,PDX
ALL-47,CCIA,PDX,PMID: 31693904,Not collected,T-cell Lymphoblastic Leukemia,Primary,Not provided,Female,European,PDX
ALL-50,CCIA,PDX,PMID: 31693904,Not collected,B-cell Precursor Acute Lymphoblastic Leukemia,Primary,Not provided,Male,European,PDX
ALL-51,CCIA,PDX,PMID: 31693904,Not collected,B-cell Precursor Acute Lymphoblastic Leukemia,Primary,Not provided,Male,European,PDX
ALL-52,CCIA,PDX,PMID: 31693904,Not collected,B-cell Precursor Acute Lymphoblastic Leukemia,Primary,Not provided,Male,European,PDX
ALL-53,CCIA,PDX,PMID: 31693904,Not collected,B-cell Precursor Acute Lymphoblastic Leukemia,Primary,Not provided,Male,European,PDX
ALL-54,CCIA,PDX,PMID: 31693904,Not collected,B-cell Precursor Acute Lymphoblastic Leukemia,Primary,Not provided,Male,Mixed_or_Unknown,PDX
ALL-55,CCIA,PDX,PMID: 31693904,Not collected,Philadelphia chromosome positive Acute Lymphoblastic Leukemia,Primary,Not provided,Male,European,PDX
ALL-56,CCIA,PDX,PMID: 31693904,Not collected,Philadelphia chromosome positive Acute Lymphoblastic Leukemia,Primary,Not provided,Male,European,PDX
ALL-57,CCIA,PDX,PMID: 31693904,Not collected,B-cell Precursor Acute Lymphoblastic Leukemia,Primary,Not provided,Female,European,PDX
ALL-59,CCIA,PDX,PMID: 31693904,Not collected,B-cell Precursor Acute Lymphoblastic Leukemia,recurrent,Not provided,Female,European,PDX
ALL-60,CCIA,PDX,PMID: 31693904,Not collected,B-cell Precursor Acute Lymphoblastic Leukemia,Primary,Not provided,Female,European,PDX
ALL-63,CCIA,PDX,PMID: 31693904,Not collected,B-cell Precursor Acute Lymphoblastic Leukemia,recurrent,Not provided,Female,European,PDX
ALL-75,CCIA,PDX,PMID: 31693904,Not collected,B-cell Precursor Acute Lymphoblastic Leukemia,Primary,Not provided,Female,European,PDX
ALL-80,CCIA,PDX,PMID: 31693904,Not collected,T-cell Lymphoblastic Leukemia,recurrent,Not provided,Male,European,PDX
ALL-81,CCIA,PDX,PMID: 31693904,Not collected,T-cell Lymphoblastic Leukemia,Primary,Not provided,Male,European,PDX
ALL-82,CCIA,PDX,PMID: 31693904,Not collected,B-cell Precursor Acute Lymphoblastic Leukemia,recurrent,Not provided,Female,European,PDX
ALL-83,CCIA,PDX,PMID: 31693904,Not collected,B-cell Precursor Acute Lymphoblastic Leukemia,recurrent,Not provided,Female,European,PDX
ALL-84,CCIA,PDX,PMID: 31693904,Not collected,B-cell Precursor Acute Lymphoblastic Leukemia,recurrent,Not provided,Male,European,PDX
ALL-85,CCIA,PDX,PMID: 31693904,Not collected,T-cell Lymphoblastic Leukemia,recurrent,Not provided,Male,European,PDX
ALL-87,CCIA,PDX,PMID: 31693904,Not collected,B-cell Precursor Acute Lymphoblastic Leukemia,recurrent,Not provided,Male,European,PDX
ALL-88,CCIA,PDX,PMID: 31693904,Not collected,B-cell Precursor Acute Lymphoblastic Leukemia,recurrent,Not provided,Male,European,PDX
ALL-91,CCIA,PDX,PMID: 31693904,Not collected,B-cell Precursor Acute Lymphoblastic Leukemia,recurrent,Not provided,Male,European,PDX
ALL-93,CCIA,PDX,PMID: 31693904,Not collected,B-cell Precursor Acute Lymphoblastic Leukemia,recurrent,Not provided,Male,European,PDX
ALL-94,CCIA,PDX,PMID: 31693904,Not collected,B-cell Precursor Acute Lymphoblastic Leukemia,recurrent,Not provided,Male,EastAsian,PDX
ALL-95,CCIA,PDX,PMID: 31693904,Not collected,B-cell Precursor Acute Lymphoblastic Leukemia,recurrent,Not provided,Male,European,PDX
ALL-97,CCIA,PDX,PMID: 31693904,Not collected,T-cell Lymphoblastic Leukemia,recurrent,Not provided,Male,Mixed_or_Unknown,PDX
ETP-1,CCIA,PDX,PMID: 31693904,Not collected,Early T-cell precursor Acute Lymphoblastic Leukemia,Primary,Not provided,Male,European,PDX
ETP-2,CCIA,PDX,PMID: 31693904,Not collected,Early T-cell precursor Acute Lymphoblastic Leukemia,Primary,Not provided,Male,European,PDX
ETP-3,CCIA,PDX,PMID: 31693904,Not collected,Early T-cell precursor Acute Lymphoblastic Leukemia,Primary,Not provided,Male,African,PDX
ETP-4,CCIA,PDX,PMID: 31693904,Not collected,Early T-cell precursor Acute Lymphoblastic Leukemia,Primary,Not provided,Male,European,PDX
ETP-5,CCIA,PDX,PMID: 31693904,Not collected,Early T-cell precursor Acute Lymphoblastic Leukemia,Primary,Not provided,Male,European,PDX
ETP-6,CCIA,PDX,PMID: 31693904,Not collected,Early T-cell precursor Acute Lymphoblastic Leukemia,Primary,Not provided,Female,African,PDX
MLL-1,CCIA,PDX,PMID: 31693904,Not collected,Mixed Lineage Lukemia Acute Lymphoblastic Leukemia,Primary,Not provided,Female,Mixed_or_Unknown,PDX
MLL-14,CCIA,PDX,PMID: 31693904,Not collected,Mixed Lineage Lukemia Acute Lymphoblastic Leukemia,Primary,Not provided,Female,European,PDX
MLL-2,CCIA,PDX,PMID: 31693904,Not collected,Mixed Lineage Lukemia Acute Lymphoblastic Leukemia,Primary,Not provided,Male,European,PDX
MLL-3,CCIA,PDX,PMID: 31693904,Not collected,Mixed Lineage Lukemia Acute Lymphoblastic Leukemia,Primary,Not provided,Male,European,PDX
MLL-5,CCIA,PDX,PMID: 31693904,Not collected,Mixed Lineage Lukemia Acute Lymphoblastic Leukemia,Primary,Not provided,Male,European,PDX
MLL-6,CCIA,PDX,PMID: 31693904,Not collected,Mixed Lineage Lukemia Acute Lymphoblastic Leukemia,Primary,Not provided,Male,European,PDX
MLL-7,CCIA,PDX,PMID: 31693904,Not collected,Mixed Lineage Lukemia Acute Lymphoblastic Leukemia,Primary,Not provided,Male,Mixed_or_Unknown,PDX
MLL-8,CCIA,PDX,PMID: 31693904,Not collected,Mixed Lineage Lukemia Acute Lymphoblastic Leukemia,Primary,Not provided,Female,European,PDX
MLL-86,CCIA,PDX,PMID: 31693904,Not collected,Mixed Lineage Lukemia Acute Lymphoblastic Leukemia,recurrent,Not provided,Female,SouthAsianOrHispanic,PDX
PAKHZT,CCIA,PDX,PMID: 31693904,Not collected,Philadelphia chromosome negative like Acute Lymphoblastic Leukemia,Primary,Not provided,Male,SouthAsianOrHispanic,PDX
PAKRSL,CCIA,PDX,PMID: 31693904,Not collected,Philadelphia chromosome negative like Acute Lymphoblastic Leukemia,Primary,Not provided,Female,SouthAsianOrHispanic,PDX
PAKSWW,CCIA,PDX,PMID: 31693904,Not collected,Philadelphia chromosome negative like Acute Lymphoblastic Leukemia,Primary,Not provided,Male,SouthAsianOrHispanic,PDX
PAKVKK,CCIA,PDX,PMID: 31693904,Not collected,Philadelphia chromosome negative like Acute Lymphoblastic Leukemia,Primary,Not provided,Male,SouthAsianOrHispanic,PDX
PAKYEP,CCIA,PDX,PMID: 31693904,Not collected,Philadelphia chromosome negative like Acute Lymphoblastic Leukemia,Primary,Not provided,Male,Mixed_or_Unknown,PDX
PALJDL,CCIA,PDX,PMID: 31693904,Not collected,Philadelphia chromosome negative like Acute Lymphoblastic Leukemia,Primary,Not provided,Male,European,PDX
PALKTY,CCIA,PDX,PMID: 31693904,Not collected,Philadelphia chromosome negative like Acute Lymphoblastic Leukemia,Primary,Not provided,Female,SouthAsianOrHispanic,PDX
PALLSD,CCIA,PDX,PMID: 31693904,Not collected,Philadelphia chromosome negative like Acute Lymphoblastic Leukemia,Primary,Not provided,Male,European,PDX
PALNTB,CCIA,PDX,PMID: 31693904,Not collected,B-cell Precursor Acute Lymphoblastic Leukemia,Primary,Not provided,Female,European,PDX
PALTWS,CCIA,PDX,PMID: 31693904,Not collected,B-cell Precursor Acute Lymphoblastic Leukemia,Primary,Not provided,Male,SouthAsianOrHispanic,PDX
PAMDRM,CCIA,PDX,PMID: 31693904,Not collected,Philadelphia chromosome negative like Acute Lymphoblastic Leukemia,Primary,Not provided,Male,Mixed_or_Unknown,PDX
CHLA-258,CHOP,PDX,PMID: 31693904,Not collected,Ewing Sarcoma,recurrent,Not provided,Female,SouthAsianOrHispanic,PDX
CHLA-79,CHOP,PDX,PMID: 31693904,Not collected,Neuroblastoma,recurrent,Not provided,Female,European,PDX
COG-N-415x,CHOP,PDX,PMID: 31693904,Not collected,Neuroblastoma,recurrent,Adrenal gland,Female,European,PDX
COG-N-421x,CHOP,PDX,PMID: 31693904,Not collected,Neuroblastoma,recurrent,Adrenal gland,Male,European,PDX
COG-N-424x,CHOP,PDX,PMID: 31693904,Not collected,Neuroblastoma,Primary,Adrenal gland,Male,European,PDX
COG-N-426x-Felix-PDX,CHOP,PDX,PMID: 31693904,Not collected,Neuroblastoma,recurrent,Not provided,Male,European,PDX
COG-N-440x,CHOP,PDX,PMID: 31693904,Not collected,Neuroblastoma,recurrent,Adrenal gland,Female,European,PDX
COG-N-452x,CHOP,PDX,PMID: 31693904,Not collected,Neuroblastoma,recurrent,Adrenal gland,Male,European,PDX
COG-N-453x,CHOP,PDX,PMID: 31693904,Not collected,Neuroblastoma,recurrent,Adrenal gland,Male,European,PDX
COG-N-471x,CHOP,PDX,PMID: 31693904,Not collected,Neuroblastoma,recurrent,Adrenal gland,Female,SouthAsianOrHispanic,PDX
COG-N-480x,CHOP,PDX,PMID: 31693904,Not collected,Neuroblastoma,Primary,Adrenal gland,Male,European,PDX
COG-N-496x,CHOP,PDX,PMID: 31693904,Not collected,Neuroblastoma,Primary,Not provided,Female,European,PDX
COG-N-519x,CHOP,PDX,PMID: 31693904,Not collected,Neuroblastoma,recurrent,Adrenal gland,Male,European,PDX
