model_id,provider,model_type,publications,age_in_years_at_collection,diagnosis,tumour_type,primary_site,sex,ethnicity,mt
HCM-BROD-0210-C71,BROD,Cell Line,,54,Glioblastoma NOS,Recurrent,Brain,Female,White,Cell Line
HCM-BROD-0104-C71,BROD,Cell Line,,63,Glioblastoma NOS,Primary,Brain,Female,White,Cell Line
HCM-BROD-0198-C71,BROD,Cell Line,,58,Glioblastoma NOS,Primary,Brain,Male,White,Cell Line
HCM-BROD-0234-C49,BROD,Cell Line,,78,Rare cancers Epithelioid sarcoma,Metastatic,Skin,Male,White,Cell Line
HCM-BROD-0236-C34,BROD,Cell Line,,49,Lung cancer Carcinoma (NOS),Metastatic,Bronchus and lung,Male,White,Cell Line
HCM-BROD-0103-C71,BROD,"3-D: Other (e.g. neurosphere, air-liquid interface, etc.)",,11,Glioblastoma NOS,Primary,Brain,Female,White,Other
HCM-BROD-0116-C16,BROD,3-D: Organoid,,57,Stomach cancer Adenocarcinoma (NOS),Primary,Stomach,Male,White,Organoid
HCM-BROD-0455-C71,BROD,"3-D: Other (e.g. neurosphere, air-liquid interface, etc.)",,89,Glioblastoma NOS,Primary,Brain,Male,White,Other
HCM-BROD-0140-C16,BROD,3-D: Organoid,,83,Stomach cancer Adenocarcinoma (NOS),Primary,Stomach,Female,White,Organoid
HCM-BROD-0419-C71,BROD,"3-D: Other (e.g. neurosphere, air-liquid interface, etc.)",,72,Glioblastoma NOS,Primary,Brain,Female,White,Other
HCM-BROD-0457-C71,BROD,"3-D: Other (e.g. neurosphere, air-liquid interface, etc.)",,69,Glioblastoma NOS,Primary,Brain,Male,White,Other
HCM-BROD-0194-C15,BROD,3-D: Organoid,,47,Esophageal cancer Esophagus adenocarcinoma (NOS),Primary,Esophagus,Male,White,Organoid
HCM-BROD-0235-C16,BROD,3-D: Organoid,,51,Stomach cancer Adenocarcinoma (NOS),Metastatic,Stomach,Male,White,Organoid
HCM-BROD-0229-C25,BROD,3-D: Organoid,,61,Pancreatic cancer Adenocarcinoma ductal type,Metastatic,Pancreas,Female,White,Organoid
HCM-BROD-0254-C49-B,BROD,Cell Line,,13,Rhabdomyosarcoma Alveolar,Metastatic,Connective tissue,Male,White,Cell Line
HCM-BROD-0232-C25,BROD,3-D: Organoid,,74,Pancreatic cancer Adenocarcinoma ductal type,Metastatic,Pancreas,Female,White,Organoid
HCM-BROD-0226-C43,BROD,Cell Line,,37,Melanoma,Metastatic,Skin,Male,White,Cell Line
HCM-BROD-0339-C43,BROD,Cell Line,,67,Melanoma,Metastatic,Skin,Male,White,Cell Line
HCM-BROD-0332-C43,BROD,Cell Line,,53,Melanoma,Metastatic,Skin,Male,White,Cell Line
HCM-BROD-0481-C43,BROD,Cell Line,,66,Melanoma,Metastatic,Skin,Female,White,Cell Line
HCM-BROD-0254-C49,BROD,Cell Line,,13,Rhabdomyosarcoma Alveolar,Metastatic,Connective tissue,Male,White,Cell Line
HCM-BROD-0010-C25,BROD,3-D: Organoid,,53,Pancreatic cancer Other,Metastatic,Pancreas,Female,White,Organoid
HCM-BROD-0223-C43,BROD,Cell Line,,74,Melanoma,Metastatic,Skin,Male,White,Cell Line
HCM-BROD-0408-C71,BROD,"3-D: Other (e.g. neurosphere, air-liquid interface, etc.)",,69,Glioblastoma NOS,Recurrent,Brain,Female,White,Other
HCM-BROD-0449-C34,BROD,Cell Line,,73,Lung cancer Squamous cell carcinoma (NOS),Metastatic,Bronchus and lung,Male,White,Cell Line
HCM-BROD-0416-C71,BROD,"3-D: Other (e.g. neurosphere, air-liquid interface, etc.)",,73,Glioblastoma NOS,Primary,Brain,Female,White,Other
HCM-BROD-0334-C43,BROD,Cell Line,,72,Melanoma,Metastatic,Skin,Male,White,Cell Line
HCM-BROD-0001-C18,BROD,"3-D: Other (e.g. neurosphere, air-liquid interface, etc.)",,49,Colorectal cancer Adenocarcinoma,Metastatic,Rectum,Female,White,Other
HCM-BROD-0561-C43,BROD,Cell Line,,65,Melanoma,Metastatic,Skin,Male,White,Cell Line
HCM-BROD-0564-C71,BROD,"3-D: Other (e.g. neurosphere, air-liquid interface, etc.)",,66,Glioblastoma NOS,Recurrent,Brain,Female,White,Other
HCM-BROD-0227-C43,BROD,Cell Line,,40,Melanoma,Metastatic,Skin,Male,White,Cell Line
HCM-BROD-0344-C25,BROD,3-D: Organoid,,75,Pancreatic cancer Adenocarcinoma ductal type,Metastatic,Pancreas,Male,Asian,Organoid
HCM-BROD-0415-C71,BROD,"3-D: Other (e.g. neurosphere, air-liquid interface, etc.)",,54,Glioblastoma NOS,Recurrent,Brain,Female,White,Other
HCM-BROD-0121-C41,BROD,Cell Line,,15,Ewing's sarcoma,Metastatic,Bone,Male,White,Cell Line
HCM-BROD-0569-C43,BROD,Cell Line,,79,Melanoma,Metastatic,Skin,Female,White,Cell Line
HCM-BROD-0643-C43,BROD,Cell Line,,54,Melanoma,Metastatic,Skin,Male,White,Cell Line
HCM-BROD-0679-C43,BROD,Cell Line,,69,Melanoma,Metastatic,Skin,Female,White,Cell Line
HCM-BROD-0613-C71,BROD,Cell Line,,51,Glioblastoma NOS,Primary,Brain,Male,White,Cell Line
HCM-BROD-0420-C71,BROD,"3-D: Other (e.g. neurosphere, air-liquid interface, etc.)",,49,Glioblastoma NOS,Recurrent,Brain,Male,White,Other
HCM-BROD-0557-C43,BROD,Cell Line,,31,Melanoma Melanoma (NOS),Metastatic,Skin,Male,White,Cell Line
HCM-BROD-0335-C43,BROD,Cell Line,,61,Melanoma Melanoma (NOS),Metastatic,Skin,Male,White,Cell Line
HCM-BROD-0458-C15,BROD,3-D: Organoid,,58,Esophageal cancer Esophagus adenocarcinoma (NOS),Metastatic,Esophagus,Male,White,Organoid
HCM-BROD-0221-C43,BROD,Cell Line,,77,Melanoma Melanoma (NOS),Metastatic,Skin,Male,White,Cell Line
HCM-BROD-0417-C71,BROD,"3-D: Other (e.g. neurosphere, air-liquid interface, etc.)",,50,Glioblastoma NOS,Primary,Brain,Female,White,Other
HCM-BROD-0595-C43,BROD,Cell Line,,53,Melanoma Melanoma (NOS),Metastatic,Skin,Female,White,Cell Line
HCM-BROD-0421-C71,BROD,Cell Line,,49,Glioblastoma NOS,Primary,Brain,Female,White,Cell Line
HCM-BROD-0124-C25,BROD,3-D: Organoid,,60,Pancreatic cancer Adenocarcinoma ductal type,Primary,Pancreas,Male,White,Organoid
HCM-BROD-0097-C15,BROD,3-D: Organoid,,74,Esophageal cancer Esophagus adenocarcinoma (NOS),Metastatic,Esophagus,Male,White,Organoid
HCM-BROD-0483-C16-A,BROD,3-D: Organoid,,50,Stomach cancer Adenocarcinoma (NOS),Metastatic,Stomach,Female,White,Organoid
HCM-BROD-0125-C25,BROD,3-D: Organoid,,72,Pancreatic cancer Adenocarcinoma (NOS),Primary,Pancreas,Male,White,Organoid
HCM-BROD-0138-C25,BROD,3-D: Organoid,,66,Pancreatic cancer Adenocarcinoma (NOS),Metastatic,Pancreas,Male,White,Organoid
HCM-BROD-0483-C16-B,BROD,3-D: Organoid,,50,Stomach cancer Adenocarcinoma (NOS),Metastatic,Stomach,Female,White,Organoid
HCM-BROD-0199-C71-B,BROD,"3-D: Other (e.g. neurosphere, air-liquid interface, etc.)",,49,Glioblastoma NOS,Recurrent,Brain,Male,Asian,Other
HCM-BROD-0102-C71,BROD,"3-D: Other (e.g. neurosphere, air-liquid interface, etc.)",,70,Glioblastoma NOS,Recurrent,Brain,Female,White,Other
HCM-BROD-0702-C43,BROD,Cell Line,,70,Melanoma,Metastatic,Skin,Male,White,Cell Line
HCM-BROD-0614-C71,BROD,Cell Line,,63,Glioblastoma NOS,Primary,Brain,Female,White,Cell Line
HCM-BROD-0677-C43,BROD,Cell Line,,58,Melanoma,Metastatic,Skin,Female,White,Cell Line
HCM-BROD-0574-C71,BROD,Cell Line,,80,Glioblastoma NOS,Primary,Brain,Male,White,Cell Line
HCM-BROD-0693-C71,BROD,Cell Line,,66,Glioblastoma NOS,Primary,Brain,Male,White,Cell Line
HCM-BROD-0642-C43,BROD,Cell Line,,58,Melanoma,Metastatic,Skin,Female,White,Cell Line
HCM-BROD-0694-C43,BROD,Cell Line,,48,Melanoma,Metastatic,Skin,Female,White,Cell Line
HCM-BROD-0758-C43,BROD,Cell Line,,58,Melanoma,Metastatic,Skin,Female,White,Cell Line
HCM-BROD-0870-C43,BROD,Cell Line,,59,Melanoma,Metastatic,Skin,Female,White,Cell Line
HCM-BROD-0710-C43,BROD,Cell Line,,73,Melanoma,Metastatic,Skin,Female,White,Cell Line
HCM-BROD-0448-C15,BROD,3-D: Organoid,,79,Esophageal cancer Esophagus adenocarcinoma (NOS),Metastatic,Esophagus,Male,White,Organoid
HCM-BROD-0721-C43,BROD,Cell Line,,60,Melanoma,Metastatic,Skin,Male,White,Cell Line
HCM-BROD-0648-C71,BROD,Cell Line,,68,Glioblastoma NOS,Recurrent,Brain,Male,White,Cell Line
HCM-BROD-0231-C25-A,BROD,3-D: Organoid,,68,Pancreatic cancer Moderately differentiated adenocarcinoma,Metastatic,Pancreas,Female,White,Organoid
HCM-BROD-0761-C71,BROD,Cell Line,,62,Glioblastoma,Primary,Brain,Male,White,Cell Line
HCM-BROD-0829-C71,BROD,Cell Line,,66,Glioblastoma,Primary,Brain,Male,White,Cell Line
HCM-BROD-0231-C25-B,BROD,3-D: Organoid,,69,Pancreatic cancer Moderately differentiated adenocarcinoma,Metastatic,Pancreas,Female,White,Organoid
HCM-BROD-0041-C64,BROD,Cell Line,,7,Wilms tumor Unfavorable,Primary,Kidney,Female,White,Cell Line
HCM-BROD-0831-C71,BROD,Cell Line,,78,Glioblastoma NOS,Primary,Brain,Female,White,Cell Line
HCM-BROD-0681-C71,BROD,Cell Line,,52,Glioblastoma NOS,Recurrent,Brain,Male,White,Cell Line
HCM-BROD-0110-C25,BROD,3-D: Organoid,,64,Pancreatic cancer Adenocarcinoma (NOS),Primary,Pancreas,Female,White,Organoid
HCM-BROD-0050-C49,BROD,Cell Line,,26,Rare cancers Epithelioid sarcoma,Metastatic,Connective tissue,Male,Asian,Cell Line
HCM-BROD-0781-C71,BROD,"3-D: Other (e.g. neurosphere, air-liquid interface, etc.)",,50,Glioblastoma NOS,Primary,Brain,Male,Black or African American,Other
HCM-BROD-1105-C73,BROD,Cell Line,,74,"Rare cancers Papillary carcinoma, NOS",Metastatic,Thyroid gland,Female,White,Cell Line
HCM-BROD-0685-C71,BROD,"3-D: Other (e.g. neurosphere, air-liquid interface, etc.)",,69,Glioblastoma NOS,Primary,Brain,Male,White,Other
HCM-BROD-0830-C71,BROD,Cell Line,,61,Glioblastoma NOS,Recurrent,Brain,Female,White,Cell Line
HCM-BROD-0676-C71,BROD,Cell Line,,62,Glioblastoma NOS,Recurrent,Brain,Male,White,Cell Line
HCM-BROD-0716-C43,BROD,Cell Line,,67,Melanoma,Metastatic,Skin,Male,White,Cell Line
HCM-BROD-0016-C25,BROD,3-D: Organoid,,66,Pancreatic cancer Adenocarcinoma ductal type,Metastatic,Pancreas,Male,White,Organoid
HCM-BROD-0485-C15,BROD,3-D: Organoid,,48,Esophageal cancer Esophagus adenocarcinoma (NOS),Metastatic,Esophagus,Male,White,Organoid
HCM-BROD-0578-C15-B,BROD,3-D: Organoid,,46,Esophageal cancer Esophagus adenocarcinoma (NOS),Metastatic,Esophagus,Male,White,Organoid
HCM-BROD-0453-C16,BROD,3-D: Organoid,,40,Stomach cancer Undifferentiated carcinoma,Primary,Stomach,Male,White,Organoid
HCM-BROD-0724-C43,BROD,Cell Line,,74,Melanoma,Metastatic,Skin,Female,White,Cell Line
HCM-BROD-0477-C16,BROD,3-D: Organoid,,69,Stomach cancer Adenocarcinoma (NOS),Metastatic,Stomach,Male,Not provided,Organoid
HCM-BROD-0015-C25,BROD,3-D: Organoid,,62,Pancreatic cancer Adenocarcinoma ductal type,Primary,Pancreas,Female,White,Organoid
HCM-BROD-0578-C15-A,BROD,3-D: Organoid,,46,Esophageal cancer Esophagus adenocarcinoma (NOS),Primary,Esophagus,Male,White,Organoid
HCM-BROD-0762-C49,BROD,Cell Line,,15,Rare cancers Abdominal fibromatosis,Primary,Abdomen,Female,Not provided,Cell Line
HCM-BROD-0834-C43,BROD,Cell Line,,79,Melanoma,Metastatic,Skin,Male,White,Cell Line
HCM-BROD-0611-C71,BROD,Cell Line,,59,Glioblastoma NOS,Recurrent,Brain,Female,White,Cell Line
HCM-BROD-0206-C25,BROD,3-D: Organoid,,74,Pancreatic cancer Adenocarcinoma ductal type,Primary,Pancreas,Female,White,Organoid
HCM-BROD-0414-C25,BROD,3-D: Organoid,,53,Pancreatic cancer Adenocarcinoma ductal type,Metastatic,Pancreas,Male,Not provided,Organoid
HCM-BROD-0225-C43,BROD,Cell Line,,50,Melanoma,Metastatic,Skin,Male,White,Cell Line
HCM-BROD-0472-C34,BROD,3-D: Organoid,,65,Lung cancer Adenocarcinoma (NOS),Metastatic,Lung,Male,White,Organoid
HCM-BROD-0615-C16,BROD,3-D: Organoid,,73,Stomach cancer Adenocarcinoma (NOS),Metastatic,Stomach,Female,Not provided,Organoid
HCM-BROD-0745-C43,BROD,Cell Line,,69,Melanoma,Metastatic,Skin,Male,White,Cell Line
HCM-BROD-0130-C25,BROD,3-D: Organoid,,58,Pancreatic cancer Adenocarcinoma ductal type,Metastatic,Pancreas,Male,White,Organoid
HCM-BROD-0253-C15,BROD,3-D: Organoid,,77,Esophageal cancer Esophagus adenocarcinoma (NOS),Metastatic,Esophagus,Male,White,Organoid
HCM-BROD-0476-C56,BROD,3-D: Organoid,,51,Ovarian cancer High grade serous carcinoma,Metastatic,Ovary,Female,White,Organoid
HCM-BROD-0695-C71,BROD,Cell Line,,59,Glioblastoma NOS,Recurrent,Brain,Male,White,Cell Line
HCM-BROD-0755-C43,BROD,Cell Line,,64,Melanoma,Metastatic,Skin,Female,White,Cell Line
HCM-BROD-0874-C43,BROD,Cell Line,,59,Melanoma,Metastatic,Skin,Female,White,Cell Line
HCM-BROD-0134-C25,BROD,3-D: Organoid,,62,Pancreatic cancer Adenocarcinoma ductal type,Metastatic,Pancreas,Male,White,Organoid
HCM-BROD-0411-C25,BROD,3-D: Organoid,,81,Pancreatic cancer Adenocarcinoma ductal type,Metastatic,Pancreas,Male,White,Organoid
HCM-BROD-0555-C15,BROD,3-D: Organoid,,48,Esophageal cancer Esophagus adenocarcinoma (NOS),Metastatic,Esophagus,Male,White,Organoid
HCM-BROD-0703-C16,BROD,3-D: Organoid,,54,Stomach cancer Adenocarcinoma (NOS),Metastatic,Stomach,Female,Not provided,Organoid
HCM-BROD-0793-C15,BROD,3-D: Organoid,,56,Esophageal cancer Esophagus adenocarcinoma (NOS),Metastatic,Esophagus,Male,White,Organoid
HCM-BROD-0953-C34,BROD,3-D: Organoid,,61,Lung cancer Adenocarcinoma (NOS),Metastatic,Lung,Male,White,Organoid
HCM-BROD-0131-C25,BROD,3-D: Organoid,,56,Pancreatic cancer Adenocarcinoma ductal type,Metastatic,Pancreas,Female,Not provided,Organoid
HCM-BROD-0353-C64,BROD,Cell Line,,13,Kidney cancer Renal medullary carcinoma,Primary,Kidney,Female,Not provided,Cell Line
HCM-BROD-0482-C34,BROD,3-D: Organoid,,56,Lung cancer Squamous cell carcinoma (NOS),Metastatic,Lung,Female,White,Organoid
HCM-BROD-0701-C43,BROD,Cell Line,,74,Melanoma,Metastatic,Skin,Male,White,Cell Line
HCM-BROD-0923-C64,BROD,3-D: Organoid,,9,Wilms tumor Favorable,Primary,Kidney,Female,White,Organoid
HCM-BROD-0962-C16,BROD,3-D: Organoid,,63,Stomach cancer Adenocarcinoma (NOS),Metastatic,Stomach,Male,White,Organoid
HCM-BROD-1119-C43,BROD,Cell Line,,76,Melanoma,Metastatic,Eye,Male,White,Cell Line
HCM-BROD-0568-C15,BROD,3-D: Organoid,,64,Esophageal cancer Esophagus adenocarcinoma (NOS),Metastatic,Esophagus,Male,White,Organoid
HCM-BROD-0715-C43,BROD,Cell Line,,49,Melanoma,Metastatic,Skin,Male,White,Cell Line
HCM-BROD-0869-C43,BROD,Cell Line,,45,Melanoma,Metastatic,Skin,Male,White,Cell Line
HCM-BROD-0954-C34,BROD,3-D: Organoid,,66,Lung cancer Adenocarcinoma (NOS),Primary,Lung,Female,Black or African American,Organoid
HCM-BROD-1098-C91,BROD,Cell Line,,73,"Rare cancers Prolymphocytic leukemia, T-cell type",Primary,Bone marrow,Male,White,Cell Line
HCM-BROD-1181-C73,BROD,Cell Line,,61,Rare cancers Papillary adenocarcinoma,Metastatic,Thyroid gland,Male,White,Cell Line
HCM-BROD-0873-C43,BROD,Cell Line,,66,Melanoma,Primary,Skin,Male,White,Cell Line
HCM-BROD-0955-C15,BROD,3-D: Organoid,,72,Esophageal cancer Esophagus adenocarcinoma (NOS),Metastatic,Esophagus,Male,White,Organoid
HCM-BROD-1100-C84,BROD,Cell Line,,76,Rare cancers Sezary syndrome,Primary,Skin,Male,White,Cell Line
HCM-BROD-1102-C85,BROD,Cell Line,,Not provided,Rare cancers Non-Hodgkin lymphoma,Primary,Lymph nodes,Male,White,Cell Line
HCM-BROD-1078-C49,BROD,Cell Line,,49,Rare cancers Leiomyosarcoma,Metastatic,Connective tissue,Female,White,Cell Line
HCM-BROD-1124-C16,BROD,3-D: Organoid,,62,Stomach cancer Undifferentiated carcinoma,Metastatic,Stomach,Male,Black or African American,Organoid
HCM-BROD-0096-C15,BROD,3-D: Organoid,,51,Esophageal cancer Esophagus adenocarcinoma (NOS),Metastatic,Esophagus,Male,White,Organoid
HCM-BROD-0689-C71,BROD,"3-D: Other (e.g. neurosphere, air-liquid interface, etc.)",,64,Glioblastoma NOS,Recurrent,Brain,Female,White,Other
HCM-BROD-0796-C71,BROD,"3-D: Other (e.g. neurosphere, air-liquid interface, etc.)",,86,Glioblastoma NOS,Primary,Brain,Male,White,Other
HCM-BROD-0129-C25,BROD,3-D: Organoid,,76,Pancreatic cancer Adenocarcinoma ductal type,Primary,Pancreas,Female,White,Organoid
HCM-BROD-0413-C25,BROD,3-D: Organoid,,53,Pancreatic cancer Adenocarcinoma ductal type,Metastatic,Pancreas,Male,White,Organoid
HCM-BROD-0925-C71,BROD,"3-D: Other (e.g. neurosphere, air-liquid interface, etc.)",,63,Glioblastoma,Recurrent,Brain,Male,White,Other
HCM-BROD-0957-C34,BROD,3-D: Organoid,,46,Lung cancer Adenocarcinoma (NOS),Metastatic,Bronchus and lung,Female,Asian,Organoid
HCM-BROD-0418-C71,BROD,"3-D: Other (e.g. neurosphere, air-liquid interface, etc.)",,45,Glioblastoma NOS,Primary,Brain,Male,White,Other
HCM-BROD-0782-C71,BROD,"3-D: Other (e.g. neurosphere, air-liquid interface, etc.)",,55,Glioblastoma,Recurrent,Brain,Female,White,Other
HCM-BROD-0922-C71,BROD,"3-D: Other (e.g. neurosphere, air-liquid interface, etc.)",,49,Glioblastoma NOS,Primary,Brain,Male,White,Other
HCM-BROD-1121-C71,BROD,"3-D: Other (e.g. neurosphere, air-liquid interface, etc.)",,69,Glioblastoma NOS,Primary,Brain,Female,White,Other
HCM-BROD-1123-C71,BROD,"3-D: Other (e.g. neurosphere, air-liquid interface, etc.)",,50,Glioblastoma NOS,Recurrent,Brain,Male,White,Other
HCM-BROD-0450-C15,BROD,3-D: Organoid,,53,Esophageal cancer Esophagus adenocarcinoma (NOS),Metastatic,Esophagus,Male,White,Organoid
HCM-BROD-0488-C16,BROD,3-D: Organoid,,72,Stomach cancer Tubular (intestinal) adenocarcinoma,Metastatic,Stomach,Male,White,Organoid
HCM-BROD-0644-C25,BROD,3-D: Organoid,,70,Pancreatic cancer Adenocarcinoma ductal type,Metastatic,Pancreas,Male,White,Organoid
HCM-BROD-0926-C16-B,BROD,3-D: Organoid,,31,Stomach cancer Tubular (intestinal) adenocarcinoma,Metastatic,Stomach,Female,White,Organoid
HCM-BROD-0040-C74,BROD,Cell Line,,2,Neuroblastoma Unfavorable,Metastatic,Adrenal gland,Male,White,Cell Line
HCM-BROD-0351-C49,BROD,Cell Line,,43,Rare cancers Leiomyosarcoma,Metastatic,Uterus,Female,White,Cell Line
HCM-BROD-0445-C15,BROD,3-D: Organoid,,57,Esophageal cancer Esophagus adenocarcinoma (NOS),Metastatic,Esophagus,Male,White,Organoid
HCM-BROD-0926-C16-A,BROD,3-D: Organoid,,31,Stomach cancer Tubular (intestinal) adenocarcinoma,Metastatic,Stomach,Female,White,Organoid
HCM-BROD-0475-C16,BROD,3-D: Organoid,,36,Stomach cancer Undifferentiated carcinoma,Metastatic,Stomach,Male,Not provided,Organoid
HCM-BROD-0559-C16,BROD,3-D: Organoid,,24,Stomach cancer Adenocarcinoma (NOS),Metastatic,Stomach,Male,White,Organoid
HCM-BROD-0683-C43,BROD,Cell Line,,55,Melanoma Melanoma (NOS),Metastatic,Skin,Male,White,Cell Line
HCM-BROD-0560-C16,BROD,3-D: Organoid,,65,Stomach cancer Adenocarcinoma (NOS),Metastatic,Stomach,Male,White,Organoid
HCM-BROD-0649-C49,BROD,Cell Line,,51,Uterine sarcoma Leiomyosarcoma,Metastatic,Uterus,Female,Not provided,Cell Line
HCM-BROD-0690-C43,BROD,Cell Line,,40,Melanoma,Metastatic,Skin,Male,White,Cell Line
HCM-BROD-0711-C64,BROD,3-D: Organoid,,63,Kidney cancer Chromophobe renal cell carcinoma,Primary,Kidney,Male,White,Organoid
HCM-BROD-0682-C64,BROD,Cell Line,,61,Kidney cancer Clear cell renal cell carcinoma,Primary,Kidney,Male,Asian,Cell Line
HCM-BROD-1186-C64,BROD,3-D: Organoid,,50,Kidney cancer Clear cell renal cell carcinoma,Primary,Kidney,Male,White,Organoid
HCM-BROD-0678-C71,BROD,"3-D: Other (e.g. neurosphere, air-liquid interface, etc.)",,1,Medulloblastoma Large cell/anaplastic medulloblastoma,Primary,Brain,Male,White,Other
HCM-BROD-0709-C64,BROD,3-D: Organoid,,47,Kidney cancer Renal cell carcinoma,Primary,Kidney,Female,White,Organoid
HCM-BROD-1099-C84,BROD,Cell Line,,44,Rare cancers Mature T-cell lymphoma,Primary,Lymph nodes,Female,Not provided,Cell Line
HCM-BROD-0759-C15,BROD,3-D: Organoid,,71,Esophageal cancer Esophagus adenocarcinoma (NOS),Metastatic,Esophagus,Male,Not provided,Organoid
