image_data_points,molecular_data_biomarker,molecular_data_cna,molecular_data_expression,molecular_data_immunemarker,molecular_data_mut,molecular_data_points_total,model_type_cell_line,model_type_organoid,model_type_other,model_type_total,sample_type_cell,sample_type_patient,sample_type_total,release,provider,treatment_data_points,model_type_pdx,sample_type_xenograft,drug_data_points
0,0,0,0,0,0,0,2055,477,38,4934,0,0,0,PDCM_DR_v6.4,IRCCS-ITGPII,0,2364,0,0
0,0,0,0,0,0,0,2133,477,38,5012,0,0,0,PDCM_DR_v6.4,IRCCS-OPBG,0,2364,0,0
0,0,0,0,0,0,0,2133,478,38,5019,0,0,0,PDCM_DR_v6.4,IRCCS-PAS,0,2370,0,0
2680,0,147915,206523,1480,135105,494106,2133,478,38,5446,0,0,18736,PDCM_DR_v6.4,JAX,0,2797,18736,403
0,6,137715,1494257,0,93,1632111,2133,478,38,5491,0,0,140,PDCM_DR_v6.4,LIH,40,2842,140,0
0,0,1350426,1348129,0,10329,2708884,2133,478,38,5538,0,292,292,PDCM_DR_v6.4,LurieChildrens,0,2889,0,0
0,0,0,0,0,0,0,2133,478,38,5854,0,0,0,PDCM_DR_v6.4,MDAnderson,0,3205,0,0
0,0,1061049,1064151,0,5171,2130928,2133,478,38,5889,0,289,289,PDCM_DR_v6.4,MDAnderson-CCH,557,3240,0,0
0,21,1997505,2988475,0,10186355,15172356,2133,478,38,5915,0,146,254,PDCM_DR_v6.4,NKI,0,3266,108,0
0,0,0,121936842,4080,18743,121960955,2356,705,38,7046,21141,9357,42703,PDCM_DR_v6.4,PDMR,1290,3947,12205,0
0,0,3148113,0,0,311346,3459459,2356,705,38,7469,0,179,1018,PDCM_DR_v6.4,PMLB,0,4370,839,0
0,0,0,0,0,0,0,2356,957,38,7721,0,0,0,PDCM_DR_v6.4,PMLB-Organoid,0,4370,0,0
103,123,5213578,3882240,105,20120,9116269,2356,1073,38,7837,998,18,1016,PDCM_DR_v6.4,SANG,0,4370,0,0
796,0,28,0,678,527307,528809,2356,1073,38,8123,0,67,2007,PDCM_DR_v6.4,SJCRH,0,4656,1940,0
0,94,0,0,0,10,192,2356,1073,38,8154,0,18,31,PDCM_DR_v6.4,TRACE,80,4687,13,8
0,0,0,0,0,0,0,2356,1073,38,8181,0,0,0,PDCM_DR_v6.4,UCD,0,4714,0,0
0,0,0,0,0,0,0,2356,1073,38,8189,0,0,0,PDCM_DR_v6.4,UMCG,0,4722,0,0
0,0,0,0,0,0,0,2356,1240,38,8356,0,0,0,PDCM_DR_v6.4,UMCU,0,4722,0,0
0,240,1020326,595188,0,7994,1623858,2356,1240,38,8415,0,151,326,PDCM_DR_v6.4,UOC-BC,110,4781,175,0
0,102,0,402940,0,204,403286,2356,1240,38,8427,0,12,53,PDCM_DR_v6.4,UOM-BC,40,4793,41,0
0,23,0,0,0,0,23,2356,1240,38,8434,0,2,9,PDCM_DR_v6.4,VHIO-BC,0,4800,7,0
0,0,0,0,0,299,299,2356,1240,38,8508,0,0,4,PDCM_DR_v6.4,VHIO-CRC,0,4874,4,0
0,0,0,0,0,0,0,2356,1240,38,8551,0,0,0,PDCM_DR_v6.4,VHIO-PC,0,4917,0,0
22,25,545607,727920,15,5383,1278972,2356,1255,38,8566,147,6,153,PDCM_DR_v6.4,WCMC,0,4917,0,0
0,0,0,0,0,0,0,2356,1255,38,8685,0,0,0,PDCM_DR_v6.4,WUSTL,0,5036,0,0
0,0,0,0,0,0,0,2356,1255,38,8942,0,0,0,PDCM_DR_v6.4,Wistar-MDAnderson-Penn,0,5293,0,0
